Date,Open,Low,High,Close,Volume
"Sep 6, 2011",3.9,3.7,6,5.7,1432
"Sep 7, 2011",5.9,3.9,5.9,3.9,237
"Sep 8, 2011",4,2,4,3,903
"Sep 9, 2011",2.9,2.6,3.2,3.2,387
"Sep 10, 2011",3,2.9,3,2.9,60
"Sep 11, 2011",3,3,3,3,10
"Sep 12, 2011",3,3,3.1,3.1,73
"Sep 13, 2011",3.2,3.1,3.5,3.3,757
"Sep 15, 2011",3.3,3.2,3.5,3.4,284
"Sep 16, 2011",3.2,3,3.3,3,98
"Sep 17, 2011",3,3,3.2,3.1,120
"Sep 18, 2011",3.1,2.9,3.1,2.9,24
"Sep 19, 2011",2.9,2.5,2.9,2.7,130
"Sep 20, 2011",2.7,2.5,2.7,2.5,435
"Sep 21, 2011",2.4,1.7,2.4,2.2,318
"Sep 22, 2011",2.2,1.1,2.2,1.9,426
"Sep 23, 2011",1.9,1.5,1.9,1.9,225
"Sep 24, 2011",1.8,1.6,2,2,513
"Sep 25, 2011",2,1.9,2,1.9,250
"Sep 26, 2011",2,1.8,2,1.9,246
"Sep 27, 2011",1.9,1.7,2,1.7,307
"Sep 28, 2011",1.7,1.6,2,2,669
"Sep 29, 2011",1.9,1.4,2,2,1423
"Sep 30, 2011",1.9,1.5,2,2,60
"Oct 1, 2011",1.9,1.9,2.4,2.4,463
"Oct 2, 2011",2,2,2,2,50
"Oct 3, 2011",1.9,1.9,2,2,176
"Oct 4, 2011",2,1.3,2,1.5,461
"Oct 5, 2011",1.5,1.4,1.7,1.5,460
"Oct 6, 2011",1.4,1.4,1.5,1.4,352
"Oct 7, 2011",1.5,1.4,1.5,1.4,617
"Oct 8, 2011",1.4,1.4,2,1.5,1936
"Oct 9, 2011",1,1,1.5,1.5,1083
"Oct 10, 2011",1.1,1.1,1.5,1.5,58
"Oct 11, 2011",1.2,1.1,1.4,1.2,487
"Oct 12, 2011",1.1,1,1.2,1.1,2305
"Oct 13, 2011",1.1,1,1.1,1.1,818
"Oct 14, 2011",1,1,1.1,1.1,42
"Oct 15, 2011",1,1,1,1,8
"Oct 16, 2011",1.1,1,1.2,1,614
"Oct 17, 2011",1.2,1.2,1.5,1.3,1936
"Oct 18, 2011",1.3,1.2,1.3,1.2,179
"Oct 19, 2011",1.3,1.2,1.4,1.3,871
"Oct 20, 2011",1.3,1.2,1.5,1.4,2216
"Oct 21, 2011",1.3,1.2,1.3,1.2,486
"Oct 22, 2011",1.2,1,1.3,1.1,1469
"Oct 23, 2011",1.2,1.2,1.2,1.2,231
"Oct 24, 2011",1.2,1.2,1.2,1.2,36
"Oct 25, 2011",1.2,1.1,1.2,1.1,666
"Oct 26, 2011",1,1,1.1,1,75
"Oct 27, 2011",1,1,1.1,1.1,13
"Oct 28, 2011",1,1,1.2,1.1,776
"Oct 29, 2011",1.1,1.1,1.1,1.1,0
"Oct 30, 2011",1.1,1.1,1.1,1.1,0
"Oct 31, 2011",1.1,1,1.1,1.1,673
"Nov 1, 2011",1.1,1.1,1.2,1.2,53
"Nov 2, 2011",1.1,1.1,1.1,1.1,308
"Nov 3, 2011",1.1,1,1.1,1.1,63
"Nov 4, 2011",1,0.9,1,1,1586
"Nov 5, 2011",1,1,1.2,1,536
"Nov 6, 2011",1,1,1,1,122
